"Career Test Drive Name","Num of Students Attended","Created Date","School Address","Record Type"
"Austin High School - February 2022","76","5/25/2022","1700 Dumble Street<br>Houston, TX 77023","CTD Fair"
"Booker T. Washington High School - April 2022","84","6/7/2022","4204 Yale St.<br>Houston, TX 77018","CTD Fair"
"Eisenhower 9th Grade Center - May 2022","165","5/25/2022","3550 West Gulf Bank Road<br>Houston, TX 77088","CTD Fair"
"Eisenhower High School - May 2022","225","5/25/2022","7922 Antoine Dr<br>Houston, Texas 77088","CTD Fair"
"Harmony Science Academy (Houston) - February 2022 [11th]","200","1/31/2022","9431 West Sam Houston Parkway South<br>Houston, TX 77099","CTD Fair"
"Harmony Science Academy (Houston) - February 2022 [12th]","200","7/6/2022","9431 West Sam Houston Parkway South<br>Houston, TX 77099","CTD Fair"
"Houston Academy - May 2022","192","6/7/2022","8103 Carver Rd<br>Houston, TX 77088","CTD Fair"
"Jack Yates High School - May 2022","146","5/12/2022","3650 Alabama St.<br>Houston, Texas 77004","CTD Fair"
"James Madison High School - April 2022","191","5/9/2022","13719 White Heather Drive<br>Houston, TX 77045","CTD Fair"
"Jane Long Academy [Fair - High School] - May 2022","150","6/7/2022","6501 Bellaire Blvd.<br>Houston, TX 77074","CTD Fair"
"Jane Long Academy [Fair - Middle School] - May 2022","158","6/7/2022","6501 Bellaire Blvd.<br>Houston, TX 77074","CTD Fair"
"Kashmere High School - April 2022","162","6/7/2022","6900 Wileyvale<br>Houston, TX 77028","CTD Fair"
"KIPP - April 2022","49","6/7/2022","10711 Kipp Way Street<br>Houston, TX 77099","CTD Fair"
"Lamar High School - April 2022","23","5/25/2022","3325 Westheimer Road<br>Houston, TX 77098","CTD Fair"
"Northbrook High School - April 2022","144","4/21/2022","<br>, Texas 77080","CTD Fair"
"North Forest High School - March 2022","100","5/17/2022","10726 Mesa Drive<br>Houston, TX 77078","CTD Fair"
"Northside High School - May 2022","132","6/7/2022","1101 Quitman Street<br>Houston, TX 77009","CTD Fair"
"Region 4 - April 2022","132","10/19/2021","7145 West Tidwell Road<br>Houston, TX 77092","CTD Fair"
"Ross Shaw Sterling Aviation High School - April 2022","167","4/25/2022","11625 Martindale Road<br>Houston, TX 77048","CTD Fair"
"Scarborough High School - March 2022","151","4/25/2022","4141 Costa Rica Rd<br>Houston, TX 77092","CTD Fair"
"Sharpstown High School - April 2022","180","5/25/2022","7504 Bissonnet Street<br>Houston, TX 77074","CTD Fair"
"Urban Enrichment Institute - June 2022 [Fair]","57","6/7/2022","4801 Providence St<br>Houston, Texas 77020","CTD Fair"
