"Training: Training Name","Training Duration","Training Cost","Financial Aid","Location (Latitude)","Location (Longitude)","TL City","TL State","TL Street","TL Zipcode","Minimum Age","Requires HS GED","Maximum Age","Job Placement Rate","Eligibility Additional Notes","Date Activated","Enrollment Steps","Training Location","Industry"
"Construction Trades Grant - Carpentry I NCCER","3-6 months","$0, free","No","31.968598800000000","-99.901813100000000","Houston","TX","4141 Victory Drive","77088","16","No","24","","Cannot be enrolled in school or employed while participating in the program; Must meet U.S. Selective Service regisration requirements (if male); English proficiency; Access to technology needed to complete homework assignments outside of class.","5/15/2022, 7:00 PM","1. Email the Grant Workforce Advisor (Alexandra Anderson)
2. Ask for the application form
3. Fill the application form and submit it to the Advisor
4. Schedule an appointment for a personal interview","4141 Victory Drive, Houston, TX 77088","Construction"
"Construction Trades Grant - Electrical I NCCER","4-12 weeks","$0, free","No","31.968598800000000","-99.901813100000000","Houston","TX","2700 W.W. Thorn Drive","77073","16","No","24","","Cannot be enrolled in school or employed while participating in the program; Must meet U.S. Selective Service regisration requirements (if male); English proficiency; Access to technology needed to complete homework assignments outside of class.","5/15/2022, 7:00 PM","1. Email the Grant Workforce Advisor (Alexandra Anderson) 2. Ask for the application form 3. Fill the application form and submit it to the Advisor 4. Schedule an appointment for a personal interview","2700 W.W. Thorn Drive, Houston, TX 77073","Construction"
"Construction Trades Grant - Field Service Technician","4-12 weeks","$0, free","No","31.968598800000000","-99.901813100000000","Houston","TX","20515 TX-249 S","77070","16","No","24","","Cannot be enrolled in school or employed while participating in the program; Must meet U.S. Selective Service regisration requirements (if male); English proficiency; Access to technology needed to complete homework assignments outside of class.","5/15/2022, 7:00 PM","1. Email the Grant Workforce Advisor (Alexandra Anderson) 2. Ask for the application form 3. Fill the application form and submit it to the Advisor 4. Schedule an appointment for a personal interview","20515 TX-249 S, Houston, TX 77070",""
"Construction Trades Grant - Construction Helper","4-12 weeks","$0, free","No","31.968598800000000","-99.901813100000000","Houston","TX","4141 Victory Drive","77088","16","No","24","","Cannot be enrolled in school or employed while participating in the program; Must meet U.S. Selective Service regisration requirements (if male); English proficiency; Access to technology needed to complete homework assignments outside of class.","5/15/2022, 7:00 PM","1. Email the Grant Workforce Advisor (Alexandra Anderson) 2. Ask for the application form 3. Fill the application form and submit it to the Advisor 4. Schedule an appointment for a personal interview","4141 Victory Drive, Houston, TX 77088","Construction"
"Construction Trades Grant - Mechatronics Technician","4-12 weeks","$0, free","No","31.968598800000000","-99.901813100000000","Houston","TX","20515 TX-249 S","77070","16","No","24","","Cannot be enrolled in school or employed while participating in the program; Must meet U.S. Selective Service regisration requirements (if male); English proficiency; Access to technology needed to complete homework assignments outside of class.","5/15/2022, 7:00 PM","1. Email the Grant Workforce Advisor (Alexandra Anderson) 2. Ask for the application form 3. Fill the application form and submit it to the Advisor 4. Schedule an appointment for a personal interview","20515 TX-249 S, Houston, TX 77070",""
"Electrical 1 Pre Apprenticeship","4-12 weeks","$0, free","No","31.968598800000000","-99.901813100000000","Houston","TX","1625 Blalock Rd","77080","18","No","99","","","","1. Apply 2. Complete 30min assessment 3. Attend Orientation","1625 Blalock Rd, Houston, TX 77080","Construction"
"NCCER Core Training (HISD)","1-3 weeks","$0, free","No","31.968598800000000","-99.901813100000000","Houston","TX","3403 Angel Lane","77045","16","Yes","","","This program is open to only graduates of HISD.","3/30/2022, 7:00 PM","This application is open to HISD only 1. Complete Intake form 2. Assessment/Career & Education Plan 3. Selection Screening and orientation","3403 Angel Lane, Houston, TX 77045","Construction"
"Unnamed Training","","","","31.968598800000000","-99.901813100000000","","TX","","","","","","","","","",", TX ","Construction"
"CDL","","","","31.968598800000000","-99.901813100000000","","TX","","","","","","","","","",", TX ","Trade, Transportation & Utilities"
"Warehouse / Forklift","","","","31.968598800000000","-99.901813100000000","","TX","","","","","","","","","",", TX ","Construction"
