,ZIPCODE,Total 16-19,Opportunity Youth
1,73949,94,0
2,75001,305,0
3,75002,4168,0
4,75006,2353,52
5,75007,3049,15
6,75009,765,3
7,75010,1363,51
8,75013,2424,0
9,75019,2621,40
10,75020,1302,46
11,75021,286,0
12,75022,2411,0
13,75023,2536,0
14,75024,1661,46
15,75025,3066,0
16,75028,2482,45
17,75032,2172,0
18,75034,6363,43
19,75035,4711,15
20,75038,1064,0
21,75039,282,0
22,75040,3449,49
23,75041,2019,15
24,75042,2426,42
25,75043,3988,50
26,75044,2106,0
27,75048,1721,12
28,75050,2428,35
29,75051,2437,15
30,75052,5805,64
31,75054,985,0
32,75056,2997,22
33,75057,813,23
34,75058,264,0
35,75060,4043,103
36,75061,3047,53
37,75062,2894,16
38,75063,1313,0
39,75065,792,17
40,75067,2930,49
41,75068,3719,88
42,75069,2622,0
43,75070,4990,95
44,75071,3311,21
45,75074,2959,58
46,75075,1756,19
47,75076,365,4
48,75077,2465,12
49,75078,2143,26
50,75080,3923,0
51,75081,1890,0
52,75082,1108,0
53,75087,2432,119
54,75088,1212,0
55,75089,1997,0
56,75090,1812,55
57,75092,1045,18
58,75093,2340,0
59,75094,1522,0
60,75098,3764,67
61,75101,27,0
62,75102,118,0
63,75103,567,0
64,75104,2903,78
65,75105,31,0
66,75109,207,0
67,75110,1771,94
68,75114,436,0
69,75115,3329,36
70,75116,1315,29
71,75117,328,7
72,75119,1723,25
73,75124,408,0
74,75125,512,5
75,75126,2829,39
76,75127,89,2
77,75132,145,0
78,75134,1272,84
79,75135,430,0
80,75137,1358,11
81,75140,356,7
82,75141,360,8
83,75142,1177,24
84,75143,582,0
85,75144,177,9
86,75146,1120,20
87,75147,460,20
88,75148,278,8
89,75149,4177,99
90,75150,3852,80
91,75152,439,5
92,75153,35,0
93,75154,2270,55
94,75155,163,0
95,75156,681,11
96,75157,8,3
97,75158,274,0
98,75159,1109,26
99,75160,1655,122
100,75161,237,7
101,75163,140,0
102,75164,24,3
103,75165,2555,0
104,75166,211,0
105,75167,567,0
106,75169,602,72
107,75172,171,31
108,75173,183,1
109,75180,1437,41
110,75181,1332,31
111,75182,327,0
112,75189,1235,0
113,75201,101,0
114,75202,58,0
115,75203,840,13
116,75204,759,0
117,75205,2641,5
118,75206,293,0
119,75207,193,0
120,75208,1514,46
121,75209,249,0
122,75210,623,14
123,75211,6278,51
124,75212,2079,32
125,75214,782,11
126,75215,906,0
127,75216,2686,40
128,75217,6763,21
129,75218,571,0
130,75219,289,16
131,75220,2645,157
132,75223,1017,0
133,75224,2655,60
134,75225,1110,0
135,75226,115,0
136,75227,4218,37
137,75228,4197,99
138,75229,1805,40
139,75230,797,5
140,75231,1582,0
141,75232,1355,14
142,75233,1433,30
143,75234,2722,113
144,75235,571,23
145,75236,974,51
146,75237,894,23
147,75238,1304,19
148,75240,1701,305
149,75241,1928,14
150,75243,2250,111
151,75244,458,0
152,75246,23,0
153,75247,0,0
154,75248,1013,29
155,75249,739,19
156,75251,87,0
157,75252,1125,23
158,75253,1979,0
159,75254,902,0
160,75270,0,0
161,75287,1587,0
162,75390,0,0
163,75401,787,16
164,75402,903,79
165,75407,1457,22
166,75409,630,0
167,75410,23,0
168,75411,11,0
169,75412,40,0
170,75413,13,0
171,75414,149,0
172,75415,121,0
173,75416,142,0
174,75417,260,0
175,75418,673,0
176,75420,88,0
177,75421,0,0
178,75422,121,0
179,75423,174,0
180,75424,155,0
181,75426,110,14
182,75428,1351,8
183,75431,54,0
184,75432,256,0
185,75433,115,0
186,75435,23,0
187,75436,167,8
188,75437,47,0
189,75438,78,3
190,75439,66,13
191,75440,305,0
192,75441,13,0
193,75442,575,0
194,75446,195,0
195,75447,38,0
196,75448,53,0
197,75449,117,6
198,75450,0,0
199,75451,62,0
200,75452,353,0
201,75453,216,0
202,75454,846,0
203,75455,1724,132
204,75457,392,70
205,75459,230,0
206,75460,1015,10
207,75462,672,0
208,75468,153,0
209,75469,22,7
210,75470,0,0
211,75471,176,0
212,75472,183,0
213,75473,127,0
214,75474,1091,38
215,75475,0,0
216,75476,0,0
217,75477,85,0
218,75478,39,0
219,75479,76,0
220,75480,31,0
221,75481,32,0
222,75482,1156,2
223,75486,150,18
224,75487,140,0
225,75488,0,0
226,75489,28,2
227,75490,133,0
228,75491,287,0
229,75492,9,0
230,75493,34,0
231,75494,501,5
232,75495,547,4
233,75496,212,0
234,75497,116,0
235,75501,1444,23
